id,category,city_slug,vehicle_slug,status,missing_fact,question_fr,question_en,question_ar,question_es,short_answer_fr,short_answer_en,short_answer_ar,short_answer_es,long_answer_fr
"prix-tarif-journalier-casablanca","payment","casablanca","","ready","","Combien coûte la location d'une voiture par jour à Casablanca ?","How much is it to rent a car in Casablanca per day?","كم يكلف كراء سيارة في اليوم بالدار البيضاء؟","¿Cuánto cuesta alquilar un coche al día en Casablanca?","Chez Diab Car, à Casablanca, une voiture se loue à partir de 220 MAD par jour en catégorie économique / citadine. Les autres catégories sont à partir de 250 MAD par jour en compacte et en van, 260 MAD en berline, 380 MAD en SUV, 650 MAD en premium et 900 MAD en luxe. Le tarif exact dépend du véhicule et de la durée de location.","At Diab Car in Casablanca, a car rents from 220 MAD per day in the economy / city-car category. The other categories start from 250 MAD per day for a compact or a van, 260 MAD for a sedan, 380 MAD for an SUV, 650 MAD for premium and 900 MAD for luxury. The exact rate depends on the car and the length of rental.","لدى دياب كار في الدار البيضاء، يمكن كراء سيارة ابتداءً من 220 درهم في اليوم في الفئة الاقتصادية (سيارات المدينة). وأسعار باقي الفئات ابتداءً من 250 درهم في اليوم للمدمجة والفان، و260 درهم للسيدان، و380 درهم لسيارات SUV، و650 درهم لبريميوم، و900 درهم للوكس. ويتوقف السعر الدقيق على السيارة ومدة الكراء.","En Diab Car, Casablanca, un coche se alquila desde 220 MAD al día en la categoría económico / urbano. Las demás categorías van desde 250 MAD al día el compacto y la furgoneta, 260 MAD la berlina, 380 MAD el SUV, 650 MAD premium y 900 MAD lujo. La tarifa exacta depende del coche y de la duración del alquiler.","À Casablanca, les tarifs Diab Car sont à partir de 220 MAD par jour en catégorie économique / citadine. La grille complète, en prix « à partir de » et par jour : économique / citadine 220 MAD, compacte 250 MAD, van 250 MAD, berline 260 MAD, SUV 380 MAD, premium 650 MAD, luxe 900 MAD.

« À partir de » désigne le tarif le plus bas de la catégorie : le prix exact dépend du véhicule choisi et de la durée, et il peut être plus élevé que ce plancher. Diab Car loue à la journée, à la semaine et au mois.

Pour les locations plus longues, une remise s'applique au montant de la location : 10 % à partir de 7 jours, 15 % à partir de 15 jours, 25 % à partir de 30 jours.

La location minimale est d'un jour, sauf en catégorie luxe où elle est de deux jours. Le kilométrage est illimité en économique / citadine, compacte, van, berline et SUV ; il est limité à 250 km par jour en luxe et, en premium, illimité ou limité à 250 km par jour selon le véhicule. La caution, de 3 000 à 10 000 MAD selon la catégorie, est distincte du prix de la location et restituée sous 7 jours.

Aucun paiement en ligne : le règlement se fait à la prise en charge, en espèces ou par carte bancaire sur TPE, et l'annulation est gratuite jusqu'à 24 heures avant la prise en charge. Pour le prix sur vos dates, écrivez à Diab Car sur WhatsApp au +212 6 59 77 55 82 — réponse sous 10 minutes, de 08:00 à 23:00 — ou réservez sur diabcar.ma. L'agence est au 356 boulevard Zerktouni, Casablanca."
"Q011","documents","","","ready","","Je peux conduire au Maroc avec mon permis français, espagnol ou américain ? Et pendant combien de temps ?","Can I drive in Morocco with my UK, US or EU driving licence, and for how long is it valid?","هل يمكنني قيادة سيارة كراء في المغرب برخصة قيادة أجنبية، وكم من الوقت تبقى صالحة؟","¿Puedo conducir en Marruecos con mi carnet español o europeo? ¿Cuánto tiempo vale?","Les conditions d'utilisation d'un permis de conduire étranger au Maroc, y compris la durée pendant laquelle il reste utilisable, dépendent notamment du permis que vous détenez : vérifiez-les auprès de votre gouvernement avant de partir. Selon votre permis, un permis de conduire international peut aussi être exigé en plus du permis national. Pour les documents que Diab Car, 356 boulevard Zerktouni à Casablanca, demande à la remise des clés, écrivez à l'agence sur WhatsApp au +212 6 59 77 55 82.","The conditions for using a foreign driving licence in Morocco, including how long it stays usable, depend among other things on the licence you hold, so check them with your own government before you travel. Depending on your licence, an International Driving Permit may also be required alongside it. For the documents Diab Car, 356 boulevard Zerktouni in Casablanca, asks for at handover, message the agency on WhatsApp at +212 6 59 77 55 82.","تختلف شروط استعمال رخصة القيادة الأجنبية في المغرب، بما فيها المدة التي يمكن استعمالها خلالها، باختلاف عدة عوامل منها نوع رخصتك، لذا تحقّق منها لدى حكومة بلدك قبل السفر. وحسب الرخصة التي تحملها، قد تُطلب أيضًا رخصة القيادة الدولية إلى جانب رخصتك الوطنية. وللاستفسار عن الوثائق التي تطلبها دياب كار بالدار البيضاء عند تسلّم سيارة الكراء، راسِل الوكالة عبر واتساب على الرقم ‎+212 6 59 77 55 82.","Las condiciones para usar un carnet de conducir extranjero en Marruecos, incluido el tiempo durante el que puede utilizarse, dependen entre otras cosas del carnet que tenga: consúltelas con su gobierno antes de viajar. Según su carnet, también puede exigirse el permiso internacional de conducir junto al carnet nacional. Para saber qué documentos pide Diab Car, en Casablanca, en la entrega del coche, escriba a la agencia por WhatsApp al +212 6 59 77 55 82.","Il n'est pas possible de donner ici une réponse unique : les conditions dans lesquelles un permis de conduire étranger peut être utilisé au Maroc, y compris la durée pendant laquelle il reste utilisable, dépendent notamment du permis que vous détenez. Vérifiez-les avant de partir auprès de votre gouvernement ou de votre ambassade.

Selon le permis que vous détenez, un permis de conduire international peut aussi être exigé en plus du permis national. Là encore, renseignez-vous avant le départ.

Si vous envisagez de vous installer au Maroc plutôt que d'y séjourner, renseignez-vous séparément sur les règles qui s'appliquent alors à votre permis.

Les documents exacts que Diab Car demande à la remise des clés sont à confirmer directement auprès de l'agence : écrivez sur WhatsApp au +212 6 59 77 55 82 — réponse en moins de 10 minutes, de 08h00 à 23h00 — ou passez au 356 boulevard Zerktouni, Casablanca."
"caution-montant","payment","","","ready","","Quelle caution demandez-vous pour louer une voiture à Casablanca ?","How much is the deposit to rent a car in Casablanca?","كم مبلغ الضمانة لكراء سيارة في الدار البيضاء؟","¿Cuánto es la fianza para alquilar un coche en Casablanca?","La caution va de 3 000 à 10 000 MAD selon la catégorie : à partir de 3 000 MAD en économique, compacte, berline et van, 10 000 MAD en luxe. Diab Car, à Casablanca, la restitue sous 7 jours.","The deposit ranges from 3,000 to 10,000 MAD depending on the category: from 3,000 MAD on economy, compact, sedan and van, 10,000 MAD on luxury. Diab Car, in Casablanca, returns it within 7 days.","تتراوح الضمانة من 3 000 إلى 10 000 درهم مغربي (MAD) حسب الفئة: ابتداءً من 3 000 درهم في الفئات الاقتصادية والمدمجة والصالون والفان، و10 000 درهم في فئة الفخامة. تعيدها دياب كار في الدار البيضاء خلال 7 أيام.","La fianza va de 3.000 a 10.000 MAD (dirhams) según la categoría: desde 3.000 MAD en económico, compacto, berlina y furgoneta, y 10.000 MAD en lujo. Diab Car, en Casablanca, la devuelve en un plazo de 7 días.","La caution va de 3 000 à 10 000 MAD selon la catégorie du véhicule, et elle est restituée sous 7 jours.

Montant par catégorie chez Diab Car, 356 boulevard Zerktouni à Casablanca :

| Catégorie | Caution |
| --- | --- |
| Économique / citadine | 3 000 – 3 500 MAD |
| Compacte | 3 000 – 4 000 MAD |
| Van | 3 000 MAD |
| Berline | 3 000 MAD |
| SUV | 5 000 – 6 000 MAD |
| Premium | 6 000 – 8 000 MAD |
| Luxe | 10 000 MAD |

Pour certaines catégories, la caution est indiquée en fourchette : demandez à l'agence le montant exact pour la voiture qui vous intéresse avant de réserver.

La caution est restituée sous 7 jours. Il n'existe aucun paiement en ligne chez Diab Car : la location se règle à la prise en charge, en espèces ou par carte bancaire sur terminal TPE, et l'annulation est gratuite jusqu'à 24 heures avant la prise en charge.

Pour le montant exact et la façon dont la caution est déposée, écrivez à l'agence sur WhatsApp au +212 6 59 77 55 82 — réponse sous 10 minutes entre 08h00 et 23h00 — ou appelez le +212 5 22 26 03 05 aux heures d'ouverture : du lundi au samedi de 08h00 à 20h00, le dimanche de 09h00 à 18h00."
"conducteur-age-minimum","conditions","","","ready","","Quel est l'âge minimum pour louer une voiture à Casablanca ?","How old do you have to be to rent a car in Casablanca?","ما هو السن الأدنى لكراء سيارة في الدار البيضاء؟","¿Qué edad mínima hay que tener para alquilar un coche en Casablanca?","L'âge minimum pour louer chez Diab Car, à Casablanca, est de 21 ans, et de 25 ans pour les catégories premium. Le permis de conduire doit par ailleurs être détenu depuis 1 an au minimum. Réservation par WhatsApp au +212 6 59 77 55 82.","The minimum age to rent from Diab Car in Casablanca is 21, and 25 for the premium categories. You must also have held your driving licence for at least 1 year. Book on WhatsApp at +212 6 59 77 55 82.","السن الأدنى لكراء سيارة من ديّاب كار (Diab Car) في الدار البيضاء هو 21 سنة، و25 سنة بالنسبة لفئات premium. كما يجب أن تكون رخصة القيادة في حوزتك منذ سنة واحدة على الأقل. للحجز عبر واتساب: +212 6 59 77 55 82.","La edad mínima para alquilar en Diab Car, en Casablanca, es de 21 años, y de 25 años para las categorías premium. Además, hay que tener el carné de conducir desde hace 1 año como mínimo. Reservas por WhatsApp: +212 6 59 77 55 82.","21 ans, et 25 ans pour les catégories premium : ce sont les seuils d'âge minimum appliqués par Diab Car, 356 boulevard Zerktouni à Casablanca. S'y ajoute une condition d'ancienneté de permis : le permis de conduire doit être détenu depuis 1 an au minimum.

Les deux conditions s'appliquent ensemble : avoir l'âge requis ne suffit pas sans l'année de permis, et inversement. Pour le modèle précis qui vous intéresse, confirmez les conditions avec Diab Car avant de réserver, en indiquant votre âge et l'ancienneté de votre permis.

La réservation se fait par WhatsApp ou sur le site web, et le paiement a lieu à la prise en charge, en espèces ou par carte bancaire sur terminal TPE : aucun paiement en ligne.

WhatsApp +212 6 59 77 55 82, réponse sous 10 minutes entre 08h00 et 23h00 ; agence ouverte du lundi au samedi de 08h00 à 20h00 et le dimanche de 09h00 à 18h00."
"LIV-01","delivery","casablanca","","ready","","Vous livrez la voiture à mon adresse à Casablanca ? Dans quels quartiers ?","Do you deliver the car to my address in Casablanca, and which areas do you cover?","هل توصّلون سيارة الكراء إلى عنواني في الدار البيضاء؟ وما هي الأحياء التي تشملها الخدمة؟","¿Entregan el coche de alquiler en mi dirección en Casablanca? ¿En qué barrios?","Oui. Diab Car livre la voiture à l'aéroport Mohammed V et dans Casablanca : Maârif, Anfa, Aïn Diab / Corniche, Centre-ville, gare Casa-Voyageurs et Sidi Maârouf — ou retrait à l'agence, 356 boulevard Zerktouni. Demandez le coût éventuel de la livraison sur WhatsApp, au +212 6 59 77 55 82, avant de confirmer.","Yes. Diab Car delivers the car to Mohammed V airport and within Casablanca: Maarif, Anfa, Ain Diab / Corniche, city centre, Casa-Voyageurs station and Sidi Maarouf — or collect it at the agency, 356 boulevard Zerktouni. Ask about any delivery charge on WhatsApp, +212 6 59 77 55 82, before confirming.","نعم. توصّل ديب كار السيارة إلى مطار محمد الخامس وداخل الدار البيضاء: المعاريف، أنفا، عين الذئاب / الكورنيش، وسط المدينة، محطة الدار البيضاء المسافرين وسيدي معروف — أو الاستلام من الوكالة في 356 شارع الزرقطوني. اسألوا عن تكلفة التوصيل، إن وُجدت، عبر واتساب +212 6 59 77 55 82 قبل التأكيد.","Sí. Diab Car entrega el coche en el aeropuerto Mohammed V y en Casablanca: Maarif, Anfa, Ain Diab / Corniche, centro, estación Casa-Voyageurs y Sidi Maarouf — o recogida en la agencia, 356 boulevard Zerktouni. Consulte el posible coste de la entrega por WhatsApp, al +212 6 59 77 55 82, antes de confirmar.","Oui, Diab Car livre la voiture de location à Casablanca et à l'aéroport Mohammed V. Les destinations proposées sont : l'agence, 356 boulevard Zerktouni ; l'aéroport Mohammed V (CMN) ; et les quartiers Maârif, Anfa, Aïn Diab / Corniche, Centre-ville, la gare Casa-Voyageurs et Sidi Maârouf. Pour une adresse qui ne figure pas dans cette liste, posez la question sur WhatsApp.

Demandez le coût éventuel de la livraison pour votre destination avant de confirmer : sur WhatsApp au +212 6 59 77 55 82, où Diab Car répond sous 10 minutes entre 08:00 et 23:00, ou par téléphone au +212 5 22 26 03 05.

Pour une livraison à l'aéroport Mohammed V, indiquez votre heure d'arrivée sur WhatsApp avant votre départ, afin de convenir avec Diab Car du lieu et de l'heure de remise.

Si vous préférez retirer la voiture vous-même : agence Diab Car, 356 boulevard Zerktouni, Casablanca 20000, du lundi au samedi de 08:00 à 20:00 et le dimanche de 09:00 à 18:00.

Le règlement de la location se fait à la prise en charge du véhicule, en espèces ou par carte bancaire sur TPE — il n'y a jamais de paiement en ligne — et l'annulation est gratuite jusqu'à 24 heures avant la prise en charge."
"LD-01","longterm","","","ready","","Vous faites un prix si je loue une semaine, deux semaines ou un mois ?","Is there a discount if I rent for a week, two weeks or a month?","هل تقدمون تخفيضاً في كراء السيارة لمدة أسبوع أو أسبوعين أو شهر؟","¿Hay descuento si alquilo el coche una semana, dos semanas o un mes?","Diab Car applique à Casablanca une remise selon la durée de location : 10 % à partir de 7 jours, 15 % à partir de 15 jours et 25 % à partir de 30 jours. Le total exact dépend de la voiture et des dates : demandez-le avant de réserver.","Diab Car in Casablanca discounts rentals by duration: 10% off from 7 days, 15% off from 15 days and 25% off from 30 days. The exact total depends on the car and the dates, so ask for it before you book.","تمنح Diab Car بالدار البيضاء تخفيضاً حسب مدة الكراء: 10% ابتداءً من 7 أيام، و15% ابتداءً من 15 يوماً، و25% ابتداءً من 30 يوماً. المبلغ الإجمالي الدقيق يتوقف على السيارة والتواريخ، لذا اطلبه قبل الحجز.","Diab Car aplica en Casablanca un descuento según la duración del alquiler: 10 % desde 7 días, 15 % desde 15 días y 25 % desde 30 días. El total exacto depende del coche y de las fechas: pídalo antes de reservar.","Oui. Chez Diab Car à Casablanca, la remise dépend de la durée de location : 10 % à partir de 7 jours, 15 % à partir de 15 jours, 25 % à partir de 30 jours.

Le total exact dépend de la voiture et de vos dates : demandez-le pour vos dates avant de réserver. Pour une location au mois, les tarifs sont à partir de 6 500 MAD par mois pour une citadine, 9 500 MAD pour un SUV et 19 000 MAD pour une premium. Ce sont des tarifs « à partir de », pas un devis.

Sur une longue durée, le kilométrage compte autant que la remise. Il est illimité sur les citadines, les compactes, les berlines, les vans et les SUV. En premium, il dépend du modèle — illimité sur certaines voitures, 250 km par jour sur d'autres — et la catégorie luxe est limitée à 250 km par jour.

Les autres conditions de Diab Car : la caution dépend de la catégorie et est restituée sous 7 jours ; le règlement se fait à la prise en charge, en espèces ou par carte bancaire sur terminal (il n'y a jamais de paiement en ligne) ; l'annulation est gratuite jusqu'à 24 heures avant la prise en charge. Pour le chiffre exact sur vos dates : WhatsApp au +212 6 59 77 55 82, réponse sous 10 minutes entre 08h et 23h, ou à l'agence, 356 boulevard Zerktouni à Casablanca."
"LD-02","longterm","","","ready","","Combien coûte une location de voiture au mois à Casablanca ?","How much does it cost to rent a car by the month in Casablanca?","كم يكلف كراء سيارة بالشهر في الدار البيضاء؟","¿Cuánto cuesta alquilar un coche por meses en Casablanca?","Chez Diab Car à Casablanca, la location au mois est à partir de 6 500 MAD par mois pour une citadine, 9 500 MAD pour un SUV et 19 000 MAD pour une premium. Ce sont des tarifs « à partir de » : le prix exact dépend du modèle et des dates, et la caution est à part.","Monthly car rental at Diab Car in Casablanca is from 6,500 MAD a month for a city car, 9,500 MAD for an SUV and 19,000 MAD for a premium car. These are 'from' prices in Moroccan dirhams: the exact rate depends on the model and the dates, and the deposit is separate.","تبدأ أسعار كراء السيارة بالشهر لدى Diab Car في الدار البيضاء ابتداءً من 6500 درهم (MAD) شهرياً لسيارة مدينة، و9500 درهم لسيارة SUV، و19000 درهم لفئة بريميوم. هي أسعار «ابتداءً من»: الثمن النهائي يتوقف على الموديل والتواريخ، ومبلغ الضمان يُحتسب على حدة.","El alquiler por meses en Diab Car, en Casablanca, es desde 6.500 MAD al mes para un urbano, 9.500 MAD para un SUV y 19.000 MAD para un premium. Son precios «desde»: la tarifa exacta depende del modelo y de las fechas, y la fianza va aparte.","Chez Diab Car à Casablanca, la location au mois est à partir de 6 500 MAD par mois pour une citadine, 9 500 MAD pour un SUV et 19 000 MAD pour une premium. Ce sont des tarifs « à partir de » : le montant exact dépend du modèle, des dates et de la durée. Demandez-le pour vos dates avant de réserver, et faites-vous préciser à ce moment-là ce que comprend le tarif mensuel pour la voiture choisie.

Le kilométrage est celui de la catégorie de la voiture : illimité en citadine et en SUV ; en premium, il dépend du modèle — illimité sur certaines voitures, 250 km par jour sur d'autres. Sur une location longue, c'est un point qui compte. Diab Car propose aussi la livraison de la voiture : à l'aéroport Mohammed V ou en plusieurs points de Casablanca (Maarif, Anfa, Ain Diab / Corniche, centre-ville, Casa-Voyageurs, Sidi Maarouf), en plus de la prise en charge à l'agence. Renseignez-vous sur les conditions de livraison vers votre adresse avant de réserver.

À part : la caution, qui dépend de la catégorie — 3 000 à 3 500 MAD pour une citadine, 5 000 à 6 000 MAD pour un SUV, 6 000 à 8 000 MAD en premium — et qui est restituée sous 7 jours. Le carburant suit la formule plein-plein : la voiture part avec le plein et se rend avec le plein. Le règlement se fait à la prise en charge, en espèces ou par carte bancaire sur terminal (TPE) ; il n'y a jamais de paiement en ligne.

Diab Car loue à la journée, à la semaine et au mois. Ses conditions de location : 21 ans minimum (25 ans pour les catégories premium), permis depuis au moins un an, annulation gratuite jusqu'à 24 heures avant la prise en charge. La location au mois convient notamment aux Marocains du monde installés plusieurs semaines au pays et aux déplacements professionnels longs. Pour le tarif exact sur vos dates : WhatsApp au +212 6 59 77 55 82, réponse sous 10 minutes entre 08h et 23h, ou à l'agence, 356 boulevard Zerktouni, Casablanca."
"aeroport-01","delivery","casablanca","","blocked","Deux faits manquants, tous deux confirmés absents de la base et du dépôt. (b) LE POINT DE RENDEZ-VOUS EXACT à CMN : quel terminal (1 ou 2), hall d'arrivée après la douane, parking ou dépose-minute ; et comment le client reconnaît l'agent — panneau à son nom, ou message WhatsApp à l'atterrissage. docs/inputs/locations.csv:3 porte encore la note « meeting point? terminal 1/2? fee? 24/7? » pour aeroport-mohammed-v. (d) LE TARIF DE LIVRAISON À CMN : delivery_fee_mad = TODO dans locations.csv et null en base, ce que le site rend « sur devis ». Il faut soit un montant en MAD, soit le mot « gratuite », soit une règle (gratuite au-delà de X jours). Décision commerciale, pas saisie de données : les concurrents de Casablanca annoncent « livraison gratuite » en titre, et un moteur de réponse ne citera jamais « sur devis ». Tant que (b) et (d) manquent, la ligne reste non publiée et ne doit pas entrer dans le JSON-LD FAQPage.","Vous livrez la voiture à l'aéroport Mohammed V ? On se retrouve où exactement, et c'est payant ?","Do you deliver the car to Casablanca Mohammed V airport, and where exactly do we meet? Is there a fee?","هل توصلون السيارة إلى مطار محمد الخامس بالدار البيضاء؟ وأين نلتقي بالضبط، وهل التوصيل مؤدى عنه؟","¿Entregan el coche en el aeropuerto Mohammed V de Casablanca? ¿Dónde nos encontramos exactamente y tiene coste?","","","","",""
"aeroport-02","delivery","casablanca","","blocked","Deux faits manquants, dont une CONTRADICTION à l'intérieur même des données vérifiées — à trancher avant toute autre ligne de la catégorie aéroport. (a) settings.airport_service24h = TRUE alors que les horaires d'ouverture vérifiés sont lundi–samedi 08:00–20:00 et dimanche 09:00–18:00, et que docs/inputs/locations.csv:3 porte encore is_24h = TODO pour aeroport-mohammed-v. La question a donc aujourd'hui deux réponses correctes selon la ligne que l'on lit. Le propriétaire doit choisir explicitement entre : horaires d'agence uniquement ; 24h/24 à l'aéroport spécifiquement ; ou 24h/24 sur accord préalable. (c) LA POLITIQUE D'ARRIVÉE TARDIVE OU RETARDÉE : le numéro de vol est-il exigé, et combien de temps à l'avance ; combien de temps l'agent attend en cas de retard ; y a-t-il un supplément de nuit ou hors horaires, et si oui son montant en MAD (ou explicitement « aucun supplément »). Une fois (a) tranché, la réponse retenue doit être rigoureusement identique sur /faq, la page aéroport et la réponse rapide WhatsApp — c'est exactement le cas d'usage pour lequel la table FAQ sert de source unique. Ne pas publier « service 24h/24 » seul : c'est vrai dans la base, cela ne répond à rien, et cela contredit les horaires affichés ailleurs sur le site.","Mon vol arrive à 2 h du matin (ou il a du retard) — je peux quand même récupérer la voiture à l'aéroport ?","My flight lands at 2 a.m., or is delayed — can I still pick up the car at Casablanca airport, and does it cost extra?","طائرتي تصل الساعة الثانية صباحًا أو متأخرة عن موعدها، هل يمكنني رغم ذلك استلام السيارة في مطار محمد الخامس؟ وهل هناك رسوم إضافية؟","Mi vuelo llega a las 2 de la madrugada, o con retraso: ¿puedo recoger igualmente el coche en el aeropuerto de Casablanca? ¿Cuesta más?","","","","",""
"RES-01","general","","","ready","","Comment réserver une voiture chez Diab Car à Casablanca ?","How do I book a car with Diab Car in Casablanca?","كيف يمكنني كراء سيارة من ديّاب كار في الدار البيضاء؟","¿Cómo reservo un coche con Diab Car en Casablanca?","Réservez chez Diab Car, à Casablanca, sur diabcar.ma ou par WhatsApp au +212 6 59 77 55 82, où Diab Car répond en moins de 10 minutes, de 08:00 à 23:00. Aucun paiement en ligne : vous réglez à la prise en charge, en espèces ou par carte bancaire.","Book with Diab Car in Casablanca at diabcar.ma or on WhatsApp at +212 6 59 77 55 82, where Diab Car answers within 10 minutes, from 08:00 to 23:00. There is no online payment: you pay at pick-up, in cash or by bank card.","احجز لدى ديّاب كار في الدار البيضاء عبر موقع diabcar.ma أو عبر واتساب على الرقم +212 6 59 77 55 82، حيث يردّ ديّاب كار في أقل من 10 دقائق، من 08:00 إلى 23:00. لا يمكن الأداء عبر الإنترنت: تؤدّي الثمن عند استلام السيارة نقدًا أو ببطاقة بنكية.","Reserva con Diab Car en Casablanca en diabcar.ma o por WhatsApp en el +212 6 59 77 55 82, donde Diab Car responde en menos de 10 minutos, de 08:00 a 23:00. No hay pago en línea: pagas al recoger el coche, en efectivo o con tarjeta bancaria.","Vous pouvez réserver chez Diab Car par WhatsApp, au +212 6 59 77 55 82, où Diab Car répond en moins de 10 minutes entre 08:00 et 23:00, ou sur le site diabcar.ma. L'agence se trouve au 356 boulevard Zerktouni, Casablanca 20000, ligne fixe +212 5 22 26 03 05.

Il n'y a aucun paiement en ligne, jamais. Le règlement se fait à la prise en charge, en espèces ou par carte bancaire sur le terminal (TPE). L'annulation est gratuite jusqu'à 24 heures avant la prise en charge.

Pour gagner du temps, indiquez dans votre message vos dates et heures, la catégorie ou le modèle souhaité et l'endroit où vous souhaitez récupérer la voiture. Diab Car propose la livraison au client : si vous la choisissez, demandez à Diab Car, avant de confirmer, si elle est possible à l'adresse voulue et si un tarif s'y ajoute.

Demandez le prix par jour et le total pour vos dates avant de confirmer. Une caution de 3 000 à 10 000 MAD, selon la catégorie, est également demandée ; elle est restituée sous 7 jours. Les locations longues sont remisées : −10 % à partir de 7 jours, −15 % à partir de 15 jours, −25 % à partir de 30 jours."
